Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,5804.990234,5804.990234,5804.990234,5804.990234,5804.990234,0
2016-02-22,5804.990234,5804.990234,5804.990234,5804.990234,5804.990234,0
2016-02-23,5804.990234,5804.990234,5804.990234,5804.990234,5804.990234,0
2016-02-24,5986.390137,6258.500000,5986.390137,6167.799805,6167.799805,1121672
2016-02-25,6167.799805,6167.799805,5895.689941,5895.689941,5895.689941,1067303
2016-02-26,5895.689941,6077.100098,5895.689941,6077.100098,6077.100098,1079579
2016-02-29,5986.390137,6167.799805,5986.390137,5986.390137,5986.390137,1190965
2016-03-01,5986.390137,6077.100098,5986.390137,6077.100098,6077.100098,493060
2016-03-02,6077.100098,6258.500000,6077.100098,6258.500000,6258.500000,1234381
2016-03-03,6258.500000,6258.500000,6077.100098,6077.100098,6077.100098,670740
2016-03-04,6077.100098,6167.799805,5986.390137,6077.100098,6077.100098,858517
2016-03-07,6077.100098,6167.799805,5986.390137,6077.100098,6077.100098,818298
2016-03-08,6077.100098,6258.500000,6077.100098,6258.500000,6258.500000,1570070
2016-03-09,6258.500000,6349.209961,6077.100098,6167.799805,6167.799805,503237
2016-03-10,6167.799805,6349.209961,6077.100098,6258.500000,6258.500000,1345138
2016-03-11,6258.500000,6621.319824,6258.500000,6439.910156,6439.910156,3003810
2016-03-14,6439.910156,6621.319824,6439.910156,6530.609863,6530.609863,983287
2016-03-15,6621.319824,6621.319824,6349.209961,6349.209961,6349.209961,1327070
2016-03-16,6258.500000,6439.910156,6258.500000,6439.910156,6439.910156,1199101
2016-03-17,6439.910156,6621.319824,6349.209961,6349.209961,6349.209961,961236
2016-03-18,6349.209961,6712.020020,6349.209961,6530.609863,6530.609863,3162709
2016-03-21,6530.609863,7074.830078,6530.609863,6893.419922,6893.419922,4583569
2016-03-22,6893.419922,7256.240234,6802.720215,7256.240234,7256.240234,3441432
2016-03-23,7256.240234,7437.640137,7256.240234,7346.939941,7346.939941,2246267
2016-03-24,7346.939941,7528.339844,7256.240234,7256.240234,7256.240234,3061290
2016-03-28,6984.129883,6984.129883,6893.419922,6984.129883,6984.129883,1438134
2016-03-29,6984.129883,6984.129883,6621.319824,6712.020020,6712.020020,908372
2016-03-30,6621.319824,7074.830078,6621.319824,7074.830078,7074.830078,1729943
2016-03-31,6984.129883,7074.830078,6712.020020,6802.720215,6802.720215,1055842
2016-04-01,6712.020020,7165.529785,6621.319824,7165.529785,7165.529785,2780207
